,合计项数,合计金额,教育部项数,教育部金额,中国科学院项数,中国科学院金额,工交农医国防等项数,工交农医国防等金额,各省项数,各省金额
合计,400,52000,222,28860,75,9750,55,7150,48,6240
数理科学部,47,6110,22,2860,12,1560,5,650,8,1040
化学科学部,57,7410,39,5070,11,1430,2,260,5,650
生命科学部,58,7540,31,4030,12,1560,5,650,10,1300
地球科学部,40,5200,15,1950,17,2210,5,650,3,390
工程与材料科学部,74,9620,47,6110,10,1300,15,1950,2,260
信息科学部,60,7800,28,3640,8,1040,11,1430,13,1690
管理科学部,14,1820,11,1430,0,0,3,390,0,0
医学科学部,50,6500,29,3770,5,650,9,1170,7,910
